"Rozentalis, Eduardas"
"Ruban, Vadim"
"Rublevsky, Sergei"
"Rukavina, Josip"
"Rustemov, Alexander"
"Sadler, Matthew"
"Sadvakasov, Darmen"
"Safarli, Eltaj"
"Sahovic, Dragutin"
"Sakaev, Konstantin"
"Sakharov, Yuri N."
"Salem, A. R. Saleh"
"Salgado Lopez, Ivan"
"Salov, Valery"
"Sandipan, Chanda"
"Sanguinetti, Raul"
"Sarana, Alexey"
"Sargissian, Gabriel"
"Saric, Ivan"
"Sasikiran, Krishnan"
"Savchenko, Boris"
"Savchenko, Stanislav"
"Savon, Vladimir A."
"Sax, Gyula"
"Schmid, Lothar"
"Schmidt, Wlodzimierz"
"Schussler, Harry"
"Seirawan, Yasser"
"Sergievsky, Vladimir D."
"Sermek, Drazen"
"Serper, Grigory"
"Sethuraman, S. P."
"Sevian, Samuel"
"Shabalov, Alexander"
"Shamkovich, Leonid"
"Shankland, Samuel"
"Shariyazdanov, Andrey"
"Sherbakov, Ruslan"
"Shimanov, Aleksandr"
"Shipov, Sergei"
"Shirov, Alexei"
"Shneider, Aleksandr"
"Short, Nigel D."
"Shulman, Yuri"
"Sigurjonsson, Gudmundur"
"Simagin, Vladimir"
"Sjugirov, Sanan"
"Skembris, Spyridon"
"Smagin, Sergey"
"Smeets, Jan"
"Smejkal, Jan"
"Smirin, Ilia"
"Smirnov, Pavel"
"Smyslov, Vassily"
"So, Wesley"
"Socko, Bartosz"
"Sokolov, Andrei"
"Sokolov, Ivan"
"Solak, Dragan"
"Sorokin, Maxim"
"Sosonko, Gennadi"
"Spasov, Vasil"
"Spassky, Boris V."
"Spassov, Liuben"
"Speelman, Jonathan S."
"Spiridonov, Nikola"
"Spraggett, Kevin"
"Stahlberg, Gideon"
"Stean, Michael F."
"Stefansson, Hannes"
"Stein, Leonid"
"Stellwagen, Daniel"
"Stohl, Igor"
"Sturua, Zurab"
"Suba, Mihai"
"Suetin, Alexey S."
"Sunye Neto, Jaime"
"Sutovsky, Emil"
"Suttles, Duncan"
"Sveshnikov, Evgeny"
"Svidler, Peter"
"Swiercz, Dariusz"
"Szabo, Laszlo"
"Taimanov, Mark E."
"Tal, Mikhail N."
"Tarjan, James E."
"Tatai, Stefano"
"Teschner, Rudolf"
"Thein, Dan Oo"
"Timman, Jan H."
"Timofeev, Artyom"
"Timoshchenko, Gennadi A."
"Timoshenko, Georgy"
"Tiviakov, Sergei"
"Tkachiev, Vladislav"
"Todorcevic, Miodrag"
"Tolonen, Leo Toivovich"
"Tolush, Alexander"
"Tomashevsky, Evgeny"
"Topalov, Veselin"
"Torre, Eugenio"
"Tregubov, Pavel V."
"Trifunovic, Petar"
"Tringov, Georgi P."
"Tseitlin, Mark D."
"Tseitlin, Mikhail S."
"Tseshkovsky, Vitaly"
